,company,href,salary,text_requirement,text_responsibility,title
439,Деньга,https://spb.hh.ru/vacancy/31916550?query=Python,unknown,"Знание языка программирования любого из: С/C++,PHP, Perl, Python. Знание языка SQL, работа с базами данных MySQL, PostgreSQL. ","Администрирование и сопровождение сетевой инфраструктуры компании. Обеспечение бесперебойной работы корпоративной сети, серверов и рабочих станций; восстановление работоспособности системы после сбоев. ",Сетевой инженер (системный администратор по IP телефонии)
440,Big Data Technologies,https://spb.hh.ru/vacancy/29092763?query=Python,unknown,"Опыт работы с любым BI инструментом (PowerBi, Tableau, Qlik Sense и пр.). Знание Python. Опыт работы с Tableau. ","Построение комплексной аналитики для интернет-проекта, используя систему визуализации. Анализ данных и отчетность. Плотное взаимодействие с командами разработки, маркетинга, менеджерами...",Аналитик
441,Netcracker Technology Corp.,https://spb.hh.ru/vacancy/29727745?query=Python,unknown,"Proficiency in a programming language (eg. Java, Python). Deep practical knowledge of UML modeling (Enterprise Architect, Eclipse Papyrus). ","Development and standardization of concepts and solutions related to implementation of NFV, SDN technologies. Main research focus for development of...",Researcher SDN/NFV
442,Почта России,https://spb.hh.ru/vacancy/31448104?query=Python,unknown,Опыт работы с работы с Kibana или Splunk. Знание SQL. Знание Python и библиотек по работе с данными и визуализации...,Исследование наших публичных и внутренних сервисов. Построение дашбордов для контроля основных показателей наших продуктов. Формирование общих подходов к анализу численных...,Аналитик
443,HEINEKEN Russia,https://spb.hh.ru/vacancy/31379123?query=Python,unknown,"Practical experience with one of mainstream programming languages (Python, C#, Java etc.) and SQL would be a big advantage. ","Understand, challenge and translate business requirements into functional/technical requirements or help to do this translation into User Stories to...",IT Functional Lead - Sales Effectiveness
444,i-FREE,https://spb.hh.ru/vacancy/32060576?query=Python,unknown,Умение систематизировать и анализировать информацию. Техническая грамотность. Желательно наличие опыта программирования на Python. Желательно наличие опыта разработки голосовых приложений (для...,Составление сценариев под задачи клиентов. Написание тест-кейсов для проверки соответствия бота ТЗ. Выработка шаблонных вариантов реализации типовых кейсов. ,Дизайнер голосовых интерфейсов
445,Почта России,https://spb.hh.ru/vacancy/31686947?query=Python,unknown,"Непрерывная интеграция - GitLabCI (желательно), TeamCity (будет плюсом), Jenkins (будет плюсом). Скриптинг - Bash (обязательно), Python (желательно), Ruby (будет плюсом). ",Тестирование и интеграция новых решений. Решение различных технических проблем в кратчайшие сроки. Работа в рамках методологии управления инцидентами и процессами...,Ведущий / Главный специалист технической поддержки корпоративного облака
446,ООО Специальный Технологический Центр,https://spb.hh.ru/vacancy/31889108?query=Python,до 110 000 руб.,"...AWR Microwave office, Ansoft HFSS, CST Microwave studio, Keysight ADS. Базовые знания в программировании (C (микроконтроллеры STM32), Python, VHDL).","Системное проектирование сложных радиочастотных устройств (преимущественно СВЧ, частоты от 1 МГц до 40 ГГц. Радиоприёмники, передатчики, средства связи, и т. ",Ведущий инженер / инженер СВЧ
447,Центр образовательных технологий Николая Ягодкина Advancе,https://spb.hh.ru/vacancy/31938445?query=Python,unknown,"...образовательном бизнесе, имеющем развитое направление онлайн-обучения. Знание современных технологических решений для онлайн-образования. Опыт разработки приложений (PHP, Python, NodeJS).","1. Построение эффективной ИТ-инфраструктуры под задачи бизнеса. 2. Выбор, внедрение и доработка наиболее подходящей по задачи бизнеса CRM-системы...","Руководитель IT, CIO, CTO"
448,SEMrush,https://spb.hh.ru/vacancy/31882788?query=Python,unknown,"Отличное знание SQL, Python/Bash. Опыт проектирования баз данных. Опыт Git. Базовые знания администрирования Linux серверов. BS/MS in Computer...",Проектирование и поддержка DWH. Поддержка процесса сбора данных. Выполнение задач миграции и агрегации данных. Мониторинг и тестирование ETLзадач. ,Data Engineer (Analytics team)
449,ООО АпТрейдер (UpTrader),https://spb.hh.ru/vacancy/32190853?query=Python,140 000-180 000 руб.,At least a years’ experience of programming in Python. Experience with asyncio and websockets. Proficiency in English of at least...,"Manage all stages of the product development: planning, analysis, testing, implementation and support. Development and maintenance of risk management and...",Middle Python back-end Developer
450,Genesys,https://spb.hh.ru/vacancy/31755778?query=Python,unknown,Senior level in Python (3+ years of dedicated experience). ∙ Solid understanding of Statistical Learning and Neural Networks. ∙ ,Data Scientist at this position will perform development and support of data modeling and data processing pipelines in cloud analytics...,Data Scientist
451,Devexperts (Российский бренд Эксперт-Система),https://spb.hh.ru/vacancy/22940634?query=Python,unknown,"Стрессоустойчивость, готовность к скрупулезной работе. Владеете скриптовыми языками (bash, Python, Perl). Обладаете навыками работы с базами данных, имеете опыт составления...","Мониторинг и поддержка удаленных систем и приложений. Коммуникация с представителями иностранных заказчиков посредством e-mail, skype, телефона. Анализ, диагностика и...",Специалист технической поддержки / Support Engineer (Level 2)
452,EOtradex,https://spb.hh.ru/vacancy/31532776?query=Python,от 2 500 EUR,"Необходимый опыт: Опыт проектирования, поддержки и разработки отказоустойчивых серверных систем на Python3. Опыт проектирования и реализации REST, JSONRPC, WebSocket...",,Senior Python Developer (Кипр)
453,КРОК,https://spb.hh.ru/vacancy/31853415?query=Python,unknown,"Знание скриптовых языков Perl, Python. Понимание принципов построения BI/DWH/ETL. Знание CI/CD инструментов и инструментов мониторинга. ",Участие проектах по созданию систем класса BigData в качестве разработчика.,Data Engineer/Разработчик Big Data
454,АО Рамакс Интернейшнл,https://spb.hh.ru/vacancy/31772326?query=Python,unknown,Опыт разработки на Python от 2-х лет (в основном используется Python2). Опыт разработки web-приложений. Опыт разработки на...,Основной задачей будет являться разработка новых фич и поддержка уже существующей кодовой базы. А также: -ведение разработки на проектах для...,Python developer
455,BUIDL LLC,https://spb.hh.ru/vacancy/31896573?query=Python,до 40 000 руб.,Опыт работы DevOps. Опыт в использовании одного или нескольких продуктов для формирования CI/CD процессов. Gitlab CI будет преимуществом. ,Организация конвейеров поставки ПО для проектов компании в рамках CI/CD процессов. Сборка кода для разных языков программирования и под...,DevOps стажер
456,ООО Специальный Технологический Центр,https://spb.hh.ru/vacancy/31051651?query=Python,от 100 000 руб.,"Опыт настройки сетевого оборудования, серверного оборудования. Shell, Python достаточно опыта написания небольших скриптов. Необходимо иметь представление об основных векторах атак...",Участие в IT-проектах в роли архитектора сетевой инфраструктуры. Обеспечение комплексной поддержки и развития IT-инфраструктуры компании. Администрирование и техническое...,Старший системный/сетевой администратор
457,ООО Специальный Технологический Центр,https://spb.hh.ru/vacancy/30965591?query=Python,unknown,"Знание алгоритмов ML: классификации, кластеризации, регрессии. Опыт разработки на Python. Знание математической статистики / теории вероятностей / линейной алгебры. Знание языков C++...",Исследование и внедрение статистических моделей и алгоритмов машинного обучения. Доработка и улучшение качества используемых моделей. Обработка и аналитическое исследование данных. ,Data scientist
458,НТЦ Метротек,https://spb.hh.ru/vacancy/32210062?query=Python,60 000-90 000 руб.,...и/или системных приложений под Linux. Опыт разработки сетевых драйверов Linux. Опыт взаимодействия с FPGA. Знание скриптовых языков - Python/Bash.,"Разработка драйверов, в том числе сетевых, для ядра Linux. Разработка системных приложений под Linux. Исправление ошибок, поддержка существующих продуктов.",Разработчик драйверов Linux (Junior)
459,ЦРТ | Группа компаний,https://spb.hh.ru/vacancy/26824987?query=Python,unknown,"Знания и опыт программирования на Python, C++. Умение, поставить/принять задачу программистам на нагруженный код. Уровень английского языка, позволяющий свободно...","Разработка алгоритмов распознавания речи (машинное обучение, работа с графами). Создание и сопровождение программных компонентов. Проведение экспериментальных исследований. Курирование задач младших...",Senior Data scientist (speech recognition)
460,Talents In Games,https://spb.hh.ru/vacancy/32209229?query=Python,unknown,"Опыт создания систем потоковой обработки. Знание профильного языка программирования (Python, Java и т.д.). Опыт работы с NoSQL базами данных...","Разработка единой высоконагруженной, масштабируемой системы сбора, обработки и анализа данных. Выбор Big Data инструментов и методологий для реализации ETL-процессов...",Data Engineer
461,Noveo,https://spb.hh.ru/vacancy/32166226?query=Python,unknown,"Хорошие знания Python версий 2.7+ и 3.5+, и его стандартных библиотек. Опыт работы c PostgreSQL и...",,Python-разработчик
462,ЦРТ | Группа компаний,https://spb.hh.ru/vacancy/31701083?query=Python,unknown,"Уверенное программирование хотя бы на одном из языков. Готовность быстро освоить Python, если его нет в бэкграунде. Математическая подготовка (знания...","Работа в исследовательской группе, работающей над решением практических задач в области Dialogue Systems, Artificial Intelligence. Анализ публикаций, мониторинг появления новых...",Middle/ Senior Data Scientist (NLP)
463,ООО ЭдСервер,https://spb.hh.ru/vacancy/29937298?query=Python,unknown,"Инициативность, автономность и ответственность за принятые решения. Будет плюсом: Опыт работы с Python. Опыт работы с DWH/BI, DataLake. ","Решение сложных инженерных задач для дальнейшего развития рекламного нетворка, который обрабатывает несколько миллиардов запросов в сутки.",Senior Backend Developer (Golang)
464,IQ Орtiоn Sоftwаre,https://spb.hh.ru/vacancy/29983840?query=Python,unknown,Адаптивная и кроссбраузерная верстка. Хорошее знание ванильного JS. Опыт работы с React/Redux.,Верстка лендингов на React (уделяем большее внимание перфомансу). Поддержка монорепозитория (Next.JS/Lerna). Разработка и поддержка админки сервиса email-рассылок.,Frontend-разработчик
465,Playkot,https://spb.hh.ru/vacancy/29806681?query=Python,unknown,"Отменное знание SQL (мы используем PostgreSQL) и Python (Pandas, NumPy). Отличное владение инструментами визуализации данных (Tableau, D3 и т...","Принимать участие в найме, обучении и менторстве команды аналитиков совместно с продюсерами проекта. Развивать аналитическую инфраструктуру: инструменты, процессы, методики. ",Data Analyst Team Lead
466,"Wargaming, Saint Petersburg (Lesta Studio)",https://spb.hh.ru/vacancy/28503633?query=Python,unknown,Отличное знание ActionScript и/или Python. Отличное владение ООП. Высокий уровень профессиональной эрудиции. Технический английский (на уровне чтения документации). ,"Разработка функциональности интерфейсов игры World of Warships. Разработка функциональности фреймворков. Поддержка, развитие, рефакторинг существующих решений.",Программист Python/ActionScript
467,КОМПЛИТ,https://spb.hh.ru/vacancy/26184521?query=Python,unknown,"Владение инструментарием для работы с данными: python, R, SQL (профессиональный уровень). Математическое, экономическое (специализация в любом разделе математики, прикладной математики...","Проектирование, разработка и тестирование архитектуры решений в части алгоритмов обработки данных и ML. Участие в анализе предметной области, формализация требований...",Data scientist
468,ЦРТ | Группа компаний,https://spb.hh.ru/vacancy/28481921?query=Python,unknown,"Знания и опыт программирования на Python, C++. Опыт работы с TensorFlow, Theano, CNTK и подобным. Опыт работы над синтезом речи...","Разработка технологии синтеза речи (машинное обучение, RNN, CNN). Разработка и сопровождение программных компонентов. Проведение экспериментальных исследований тех направлений, которые еще...",Data Scientist (speech synthesis)
469,Группа «Кронштадт»,https://spb.hh.ru/vacancy/28541972?query=Python,unknown,"Технологический стек проекта: Python (aiohttp), JavaScript (Vue.js), PostgreSQL, Nginx, Docker, GitLab. Опыт работы с vue.js. Опыт работы с css, html. ","Наши ключевые задачи - быстрая визуализация больших объемов материалов аэро и лидарной фотосъемки, хранение различных данных клиентов и предоставление к ним...",Senior Frontend Developer (Беспилотное направление)
470,Группа «Кронштадт»,https://spb.hh.ru/vacancy/28541972?query=Python,unknown,"Технологический стек проекта: Python (aiohttp), JavaScript (Vue.js), PostgreSQL, Nginx, Docker, GitLab. Опыт работы с vue.js. Опыт работы с css, html. ","Наши ключевые задачи - быстрая визуализация больших объемов материалов аэро и лидарной фотосъемки, хранение различных данных клиентов и предоставление к ним...",Senior Frontend Developer (Беспилотное направление)
471,НТЦ Метротек,https://spb.hh.ru/vacancy/32210067?query=Python,80 000-130 000 руб.,"Знание сетевой подсистемы ядра Linux. Знание стека протоколов TCP/IP, принципов коммутации и маршрутизации. Знание скриптовых языков - Python/Bash. ","Выполняют review аппаратной платформы на ранней стадии разработки. Участвуют в проектировании архитектуры системы. Вместе с коллегами ""аппаратчиками"" и FPGA-разработчиками...",Системный программист Linux
472,НТЦ Метротек,https://spb.hh.ru/vacancy/32210066?query=Python,от 120 000 руб.,"Знание сетевой подсистемы ядра Linux. Знание стека протоколов TCP/IP, принципов коммутации и маршрутизации. Знание скриптовых языков - Python/Bash.","Выполняют review аппаратной платформы на ранней стадии разработки. Участвуют в проектировании архитектуры системы. Вместе с коллегами ""аппаратчиками"" и FPGA-разработчиками...",Разработчик драйверов Linux
473,ЦРТ | Группа компаний,https://spb.hh.ru/vacancy/29639855?query=Python,unknown,"Знания и опыт программирования на Python. Хорошая математическая подготовка (теория вероятностей, статистика). Знание и опыт в Machine Learning, Deep Learning. ","Разработка алгоритмов распознавания эмоций (машинное обучение), исследования. Создание и сопровождение программных компонентов. Проведение экспериментальных исследований.",Data Scientist (emotion detection)
474,ООО ENTER Engineering Pte. LTD,https://spb.hh.ru/vacancy/32085034?query=Python,unknown,"Высшее образование (математика, статистика, информационные технологии, экономика). Навыки работы с Python (jupyter, pandas, numpy). Навыки работы с базами данных (sql...","заниматься сбором, очисткой и подготовкой данных из различных источников. - проверять гипотезы. - решать задачи построения моделей классификации, кластеризации, регрессии. - визуализировать данные. - ",Ведущий специалист по анализу данных
475,Доктор Веб,https://spb.hh.ru/vacancy/31745991?query=Python,unknown,Знаете и понимаете процессы тестирования ПО. Знаете Python/C/Java. Имеете опыт написания и актуализации автотестов. Знаете как работать с...,Составлять тест-планы и тест-кейсы в условиях постоянно растущей функциональности. Заниматься ручным и автоматическим тестированием продуктов и документации Dr.Web. ,Старший инженер по тестированию / Senior Software Tester
476,Доктор Веб,https://spb.hh.ru/vacancy/29481394?query=Python,unknown,"Понимание цикла разработки ПО. Уверенные знания Linux. Знание скриптового языка программирования (Python, Bash). Опыт работы с системами мониторинга. ","Доктор Веб» создает антивирусные программы для различных операционных систем и мобильных платформ, для защиты домашних пользователей и крупных компаний. ",DevOps-инженер / DevOps Engineer (сервис Dr.Web Cloud)
477,ЦРТ | Группа компаний,https://spb.hh.ru/vacancy/30270038?query=Python,unknown,"Опыт управления командой (3+ человек). Хорошая математическая подготовка (теорвер, статистика, теория графов, алгоритмы). Опыт разработки алгоритмов детектирования эмоций. ","Разработка алгоритмов распознавания эмоций (машинное обучение), исследования. Создание и сопровождение программных компонентов. Проведение экспериментальных исследований.",Senior Data Scientist/ Team Lead (emotion detection)
478,ЦРТ | Группа компаний,https://spb.hh.ru/vacancy/19958831?query=Python,unknown,"Хорошая математическая подготовка. Английский на уровне свободного чтения статей. Крепкие знания Python. Будет большим плюсом: опыт в области ML, DL...","Используем в работе принципы итеративной разработки. Разработка алгоритмов в виде прототипов на любимом языке, фреймворке. Участие в поиске решения всех...",Data Scientist (computer vision)
479,Genesys,https://spb.hh.ru/vacancy/31755844?query=Python,unknown,"A Bachelor's degree in Computer Science or Computer Engineering, or equivalent experience. 5+ years in Web UI, Web...",Genesys core components are the part of whole solution developed by Company. It provides voce services related functionality: SIP switch...,Staff Software Engineer
480,"Русские базовые информационные технологии, Научно-производственное объединение",https://spb.hh.ru/vacancy/29479830?query=Python,unknown,"Обязательно: Опыт администрирования Linux систем (Debian). Умение автоматизировать действия скриптами (bash perl python). Опыт в настройке базовых сервисов (NTP, FTP...",Настройка серверов под ОС Astra Linux. - Управление компьютером в удаленных сетях по Интернет. - Администрирование локальных сетей в составе до 10...,Системный администратор Linux
481,Veeam Software,https://spb.hh.ru/vacancy/31110615?query=Python,unknown,"Опыт тестирования программного обеспечения (ПО) от 1-2 лет + практический опыт использования скриптовых языков PowerShell, Python, Perl, Groovy и...","Разработка и поддержка автотестов для одного или нескольких продуктов Veeam. Глубокое погружение в продукт, ""технику"" и профессию. Взаимодействие со всеми...","QA Automation Engineer (Санкт-Петербург, Прага)"
482,ООО Специальный Технологический Центр,https://spb.hh.ru/vacancy/30965536?query=Python,от 100 000 руб.,"Уверенное владение языками C++, Python. Знание алгоритмов и структур данных. Практические навыки использования Git. Знание языка Golang. Опыт работы с...",Реализация разработанных моделей и программных решений по анализу Big Data. Оптимизация и тестирование программных решений.,Программист С++
483,ЦРТ | Группа компаний,https://spb.hh.ru/vacancy/30331894?query=Python,unknown,Методы математической статистики и хороший уровень общего математического образования. Язык программирования С/С++. Опыт с нейросетевыми алгоритмами - будет преимуществом.,"Разработка и реализация алгоритмов. Проведение экспериментов, создание макетов, написание статей. Научно - исследовательская работа.",Data Scientist (event detection)
484,DINO Systems,https://spb.hh.ru/vacancy/31837307?query=Python,unknown,"Хорошие знания ОС Linux. Опыт эксплуатации системы, состоящей из множества компонент. Опыт работы с Docker. Опыт работы c Jenkins, Gitlab...","Команда Contact Center создает абсолютно новый omni-channel продукт на рынке, который объединит все существующие способы взаимодействия компаний с клиентом...",DevOPS engineer (Contact Center integration)
485,AI Factory,https://spb.hh.ru/vacancy/32212044?query=Python,50 000-80 000 руб.,Плюсами будут: - Опыт тестирования API. - Опыт работы с эмуляторами/симуляторами. - Базовые знания Python. - Опыт автоматизации тестирования мобильных приложений. - ,"AI Factory — инновационная мобильная компания. Мы стираем грань между фото и видео, оживляя фотографии пользователей и помещая их в разнообразные...",QA/ Тестировщик мобильных приложений
486,EOtradex,https://spb.hh.ru/vacancy/32156872?query=Python,от 3 000 EUR,"Необходимый опыт: Знание Python 3, Django, Aiohttp. Опыт работы с WebSocket. Postgres, Mysql, Redis, Elastic. Понимание особенностей работы с нагруженными...",,Senior(Lead) Python Developer
487,КОМПЛИТ,https://spb.hh.ru/vacancy/30693172?query=Python,unknown,"Владеть методами извлечения, представления и визуализации данных. Владеть скриптовыми языками: python, R, SQL и им подобным. Применять на практике подходы...","Проектирование, разработка архитектуры продуктов компании (в части сбора, хранения и обработки данных), участие в разработке архитектуры отраслевых решений. ",Data analyst / Data engineer
488,"Содружество, Группа компаний",https://spb.hh.ru/vacancy/31701060?query=Python,unknown,"Разработка математических моделей и систем обоработки big data от 1 года. Опыт программирования, желательно с Python, Hadoop, аналогии, понимание ООП.","Реализация программно-алготитмических задач, связанных с обработкой больших массивов данных, систем принятия решений, машинного обучения и искусственного интеллекта. ",Программист-математик
489,Noveo,https://spb.hh.ru/vacancy/32167492?query=Python,unknown,Опыт работы от 1 года с Matlab / Python/ Pig и / или другими языками и инструментами программного обеспечения для анализа. ,"Возможность трансформировать бизнес-цели в действенный анализ. Технический английский: чтение документации, участие в переписке.",Data Scientist
490,FutureComes,https://spb.hh.ru/vacancy/32116019?query=Python,unknown,"Образование высшее техническое. Базовые знание Python (2, 3). Будет плюсом: Опыт работы с MySQL, zmq, Node.js. Опыт работы с Django...",Чем предстоит заниматься: принимать участие в написании большой распределённой системы в составе команды разработки.,Junior Python developer
491,LiveBetSystem,https://spb.hh.ru/vacancy/32204488?query=Python,140 000-160 000 руб.,Предполагаем что вы владеете языком программирования: Java или Python или другим и совершенствуете свои навыки. Умение работать с командой разработки. ,"Расширение и формирование отдела тестирования (5 человек и более). Разработка тест плана. Поддержка списка use-case, реализуемых в проекте, с...",QA team lead
492,Доктор Веб,https://spb.hh.ru/vacancy/29481401?query=Python,unknown,"Пишете на POSIX Shell. Собираете C++ код с помощью GNU Make, GCC. Собираете пакеты RPM и/или DEB. ",Писать скрипты установки и удаления пакетов. Участвовать в разработке продуктов и решений под UNIX. Знакомы с Python или Golang. ,Build engineer (UNIX)
493,IQ Орtiоn Sоftwаre,https://spb.hh.ru/vacancy/31780819?query=Python,unknown,"Опыт написания кода на скриптовых языках (PHP, Javascript, shell, Python etc.). Ты обладаешь аналитическими способностями, навыками поиска и устранения неисправностей...",Заниматься разработкой новых фич на основе Freeswitch для телефонии компании. Взаимодействие с провайдерами VoIP. Конфигурация диалплана. Взаимодействовать с командами разработки...,VoIP инженер-программист
494,ООО Специальный Технологический Центр,https://spb.hh.ru/vacancy/30965572?query=Python,от 100 000 руб.,"Уверенное владение языками C++, Python. Знание алгоритмов и структур данных. Опыт многопоточного программирования. Опыт разработки сетевых приложений. Практические навыки использования...","Проектирование и разработка системного ПО под Linux или Windows или macOS (обеспечивающего в том числе: сетевое взаимодействие, многопотоковую обработку данных...",Программист C/С++
495,Группа «Кронштадт»,https://spb.hh.ru/vacancy/30962851?query=Python,unknown,У тебя есть опыт написания скриптов bash ( python или ruby - будет плюсом ). Умеешь быстро вникнуть в специфику новой предметной области. ,"Управлять безэкипажными судами (с помощью программно-аппаратного комплекса, состоящего из бортовой и береговой частей). Решать задачи безопасного мореплавания и тактического...",Ведущий DevOps инженер (Морское направление)
496,НИЦ СПб ЭТУ (Научно-инженерный центр Санкт-Петербургского электротехнического университета),https://spb.hh.ru/vacancy/25882273?query=Python,unknown,"Владение Jenkins на уровне поддержания и создания Jenkins pipeline. Опыт использования систем контроля версий (Subversion, Git). Опыт программирования, желательно Python.","Сопровождение и разработка систем автоматической сборки Java и C++ проектов. Сборка установочных пакетов под различные целевые платформы (RPM, DEB, Windows). ",Инженер конфигураций (DevOps)
497,DINO Systems,https://spb.hh.ru/vacancy/31961336?query=Python,unknown,Широкая техническая эрудиция. Опыт работы в области эксплуатации телекоммуникационных сервисных платформ от 2 лет. ОС Linux. Уровень администратора. ,"Своевременно реагировать на возникающие проблемы и грамотно взаимодействовать с командой разработчиков для их решения. Автоматизировать рутинные задачи (bash, python). ",Site Reliability Engineer (audio&video conferences)
498,GR Software Engineering,https://spb.hh.ru/vacancy/31974538?query=Python,unknown,"Experience with IEC 61131-3 programming languages, including (object oriented extensions), C#, C++, etc. , Python. Substantial knowledge and practical experience...",Work in international development team. Work on projects and tools which use TwinCAT 3 Beckhoff IDE. Mainly focus on the...,TwinCAT 3 Beckhoff developer
499,Доктор Веб,https://spb.hh.ru/vacancy/28524620?query=Python,unknown,"Имеете опыт применения систем виртуализации KVM, Docker. Пишете на Python и Shell. Владеете системами управления конфигурациями (предпочтительно Ansible). ","Поддерживать и развивать системы автоматической сборки UNIX-решений Dr.Web. Поддерживать и развивать системы непрерывной интеграции (Jenkins, gitlab CI). ",Release engineer (UNIX)
500,Diakont,https://spb.hh.ru/vacancy/28326617?query=Python,unknown,"Понимание процесса разработки ПО. Приветствуется знание Python, SQL. Приветствуется знание основ по прикладным направлениям (робототехника, ультразвуковая и электромагнитная дефектоскопия. ","Тестирование разрабатываемых программно-аппаратных комплексов в составе роботизированных систем и систем дефектоскопии, применяемых в газовых и тепловых сетях, а также...",Инженер по качеству ПО (тестировщик программного обеспечения)
501,Inkitt,https://spb.hh.ru/vacancy/32172247?query=Python,150 000-200 000 руб.,"Хорошая математическая подготовка, владение основами статистики, умение объяснить и доказать полученный результат. Хорошее знание Python. Опыт работы с PostgreSQL, или...",Внедрять и развивать алгоритмы для рекомендаций и поиска для увеличения Retention пользователей нашей платформы. Написание запросов и построение отчетов для...,Data Scientist (Аналитик данных)
502,АО Рамакс Интернейшнл,https://spb.hh.ru/vacancy/31772302?query=Python,unknown,Опыт разработки на Python от 2-х лет (в основном используется Python2). Опыт разработки на Django. Опыт разработки на...,"Ведение разработки на проектах для крупных заказчиков. В рамках этих проектов реализуются как небольшие приложения, так и распределенные приложения с...",Django developer (Fullstack)
503,Selectel,https://spb.hh.ru/vacancy/31007714?query=Python,от 130 000 руб.,Понимание особенностей работы баз данных в облачных средах. Навыки программирования на Python. Отличные навыки работы с одной из систем управления...,"Проектировать решения для автоматизации работы с базами данных. Знакомство с проектом OpenStack, его экосистемой и инфраструктурой для работы с ним...",DevOps инженер баз данных облачной платформы Selectel
504,ARRIVAL LTD,https://spb.hh.ru/vacancy/31703328?query=Python,unknown,Python knowledge. Experience in testing with pytest. Basic knowledge of Linux. Knowledge of automation and manual testing approaches. ,Testing of ADAS software in embedded Linux environment. Testing of computer vision and machine learning algorithms. Testing of image and...,Senior QA Engineer for ADAS
505,"ПАО «МТС»,IT",https://spb.hh.ru/vacancy/32088797?query=Python,unknown,"Умение разбираться в чужом коде на одном из языков Python, .NET (C#), Java. Знание одного из инструментов нагрузочного тестирования (Jmeter...","Команда QA МТС обеспечивает качество продуктов собственной разработки, которые решают операционные и бизнес-задачи в телекоммуникационном секторе. Проведение нагрузочного тестирования...",Инженер по нагрузочному тестированию
506,НТЦ Метротек,https://spb.hh.ru/vacancy/32210068?query=Python,80 000-130 000 руб.,Знания сетевых технологий и протоколов. Знание какого-либо языка программирования из Python/Tcl/Bash/C/C++. Знание систем контроля версий...,"Выполняют review аппаратной платформы на ранней стадии разработки. Участвуют в проектировании архитектуры системы. Вместе с коллегами ""аппаратчиками"" и системными программистами...",Разработчик FPGA (ПЛИС)
507,DigitalHR,https://spb.hh.ru/vacancy/29796747?query=Python,unknown,"GitLab (Git repo, CI/CD, issues, ...). Необходимые знания и навыки: - Отличное владение Python и знание основных фреймворков. - Понимание многопоточности и...","Kubernetes, Helm, Grafana, Prometheus, отдельная команда мониторинга инфраструктуры. - Python (backend services). - Redis/ElastiCache (backend services integration). - Участие в проектировании и...",Senior python developer
508,the_covert,https://spb.hh.ru/vacancy/32184188?query=Python,unknown,"Умение работать с финансовыми данными, правильно применять тестирование.","Разработка компонентов бэкенд-части финтех-продуктов. Разработка высоконагруженного API (> 10k prs). Работа с микросервисной архитектурой, поддержка и разработка нового...",Senior Backend Developer (Node.js)
