,company,href,salary,text_requirement,text_responsibility,title
155,Weigandt-consulting,https://spb.hh.ru/vacancy/31726236?query=Python,40 000-50 000 руб.,"Базовые знания SQL и/или bash (Unix Shell). Любой уровень С, Python; Git, Jenkins, Jira, Zendesk, Splunk будет плюсом. ","Решение инцидентов, заведенных специалистами первой линии поддержки в task-tracking системе. Разработка улучшений для системы. Работа в команде - обеспечение бесперебойной...",Стажер-инженер
156,Акрибия,https://spb.hh.ru/vacancy/32188510?query=Python,от 140 000 руб.,"Владение современными технологиями в области веб-разработки. Опыт разработки на интерпретируемых языках (Python, bash, node.js, PHP, Ruby, etc.). ",Ведение проекта. Улучшение текущей функциональности. Разработка новой функциональности. Генерация идей по улучшению проекта. Проектирование архитектуры. Создание новых API модулей.,Team Lead в сфере Информационной безопасности
157,Сбербанк для экспертов,https://spb.hh.ru/vacancy/32285196?query=Python,unknown,Представление об этапах процесса разработки и принципов CI/CD. Опыт разработки – дополнительный плюс. Знания скриптовых языков bash/python/perl. Git. ,"Автоматизация процессов разработки, сборки. CI/CD. Администрирование и настройка серверной инфраструктуры под требования разработки.",DevOps
158,DataArt,https://spb.hh.ru/vacancy/31918399?query=Python,unknown,"Разговорный английский. БУДЕТ ПЛЮСОМ. Навыки работы с Python, Bash. Понимание принципов построения и функционирования компьютерных сетей. Понимание внутреннего устройства протоколов...","Проект строиться на исследовательских задачах, любое создаваемое решение в первую очередь оценивается с точки зрения производительности и устойчивости. ","Middle C++ Engineer, Wireless Solutions"
159,Авито,https://spb.hh.ru/vacancy/32283751?query=Python,unknown,"Студент 4 курса или магистратуры (факультеты: математический, физический, бизнес-информатика и факультет компьютерных технологий). Обладаете аналитическим мышлением и умеете структурировать...","Заниматься выгрузкой и подготовкой данных с помощью SQL. Проводить аналитические исследования, искать и проверять гипотезы, определять паттерны поведения пользователей. ",Стажер BI Data Analytics
160,SEMrush,https://spb.hh.ru/vacancy/32281424?query=Python,unknown,Знание хотя бы одного из языков R/Python. Опыт работы с Google BigQuery. Наличие сертификата Google Analytics. Опыт работы с...,"Построение аналитических отчетов об эффективности маркетинговых кампаний с помощью запросов к BigQuery. Анализировать поведение пользователей. Построение и проверка моделей, описывающих...",Data Analyst (PPC team)
161,Grid Dynamics,https://spb.hh.ru/vacancy/31745238?query=Python,unknown,Good knowledge of *nix. Knowledge of scripting languages like Ruby/python. Bash-scripting. Analytical mindset. Knowledge of SQL. ,Define quality criteria for automated infrastructure project. Automate testing of environment provisioning. Automate testing of the environment’s resources utilization. ,QA Automation Engineer (Python)
162,"Wargaming, Saint Petersburg (Lesta Studio)",https://spb.hh.ru/vacancy/31971296?query=Python,unknown,Знание Excel и VBA. Опыт работы с большими объемами данных. Знание Python и/или R. Склонность к автоматизации и оптимизации...,"Участие в создании и ведении различных игровых активностей: проработка KPI и методологии анализа, подготовка данных, оценка результатов. Анализ данных для...",Operational Data Analyst
163,Hype Factory,https://spb.hh.ru/vacancy/31774349?query=Python,unknown,"Понимание основ статистики, теории вероятностей, математики. Умение программировать - SQL, R/Python. Умение делать выводы - среди разрозненных данных находить ответы на...","Взять на себя ответственность за качество (полноту и точность) данных в наших отчетах, выстроить процесс поиска ошибок и аномалий. ",Data Scientist
164,INCOEL,https://spb.hh.ru/vacancy/32257620?query=Python,unknown,"Знание Git, Doxygen. С++11, С++14, С++17. Многопоточность. Unittest. Знание Python, Qt, MySQL. Понимание computer vision & deep learning...",Сопровождение и оптимизация существующего кода. Добавление нового функционала. Рефакторинг кода. Написание unittest. Работа в связке с computer vision & deep learning...,Программист С++
165,"Высшая инженерная школа,СПбГПУ",https://spb.hh.ru/vacancy/32281312?query=Python,unknown,...языка Python и особенностей работы с ним. Знание и умение применять на практике пакеты из стандартной библиотеки языка Python (os...,Ведение практических занятий в группах слушателей (до 13 человек). Ведение лекционных занятий в потоке (до 50 человек).,Преподаватель направления «Разработка программного обеспечения Python»
166,Севкабель,https://spb.hh.ru/vacancy/29645231?query=Python,unknown,"Высшее образование. Знание python3 + django, опыт работы не менее 2-х лет. Базовые знание SQL. Опыт работы с...","Разработка, тестирование и сопровождение программного обеспечения.",Программист-разработчик
167,Cloud Linux,https://spb.hh.ru/vacancy/32186317?query=Python,unknown,"Understanding of PHP, Python & Ruby to assess what code is functionally attempting to execute. A basic understanding of web server...","Malware researcher will analyze malware distribution, develop protection rules/signature, and deploy security updates.",Malware Researcher/Analyst for Imunify Security - Proactive defence
168,Транзас,https://spb.hh.ru/vacancy/31217647?query=Python,от 180 000 руб.,Знание Qt Style Sheet. Уверенное владение Java Script/Python. Опыт кросс-платформенной разработки. Желателен опыт технологического лидерства. Желателен опыт работы...,"Вести разработку гибко настраиваемого пользовательского интерфейса, отвечающего современным стандартам usability. Участвовать в выработке архитектуры продукта. Участвовать в проектировании и прототипировании...",Senior Developer C++/QT
169,DataArt,https://spb.hh.ru/vacancy/32083357?query=Python,unknown,Умение строить отчеты и панели индикаторов в Sisense. Навыки построения прогнозных моделей. Владение Python или R. Навыки использования Tableau для...,"Взаимодействие с бизнес-пользователями для формулирования гипотез и способов их проверки. Идентификация источников данных, в том числе внешних для проверки...",Data Analyst (Business Intelligence)
170,Дейтерий,https://spb.hh.ru/vacancy/32168910?query=Python,от 30 000 руб.,"готовность выполнить тестовое задание. 6. навыки программирования (C/C++, Assembler, PHP, Python, JavaScript, Bash). 7. знание основ криптографии (SSL/TLS...",1. выполнение тестирования на проникновение информационных систем различного назначения и состава. 2. практическая исследовательская работа по поиску уязвимостей прикладного и...,Младший специалист по тестированию на проникновение / Junior Penetration Tester
171,Social Quantum,https://spb.hh.ru/vacancy/32296095?query=Python,unknown,"Опыт работы с системами виртуализации VMware, Proxmox. Опыт работы с распределенным хранилищем данных Ceph. Знание скриптовых языков (bash, python, powershell).","Администрирование локальных серверных площадок. Анализ работы серверного парка в целях повышения надежности его работы. Администрирование Windows-сервисов: AD, WDS, WSUS...",Lead System Administrator (Ведущий системный администратор)
172,Группа компаний eLama,https://spb.hh.ru/vacancy/32262759?query=Python,unknown,Знание принципов построения DWH. Опыт программирования на Python. Умение работать с Bash и Linux. Опыт работы с реляционными базами данных...,Участие в процессе проектирования и разработки DWH. Отвечать за архитектуру хранилищ данных. Обеспечивать отказоустойчивость хранения данных. Разработка скриптов для ETL...,Data Architect
173,"Протей, НТЦ",https://spb.hh.ru/vacancy/31291107?query=Python,40 000-50 000 руб.,"Уверенное знание сетевых технологий (стек TCP/IP, опыт настройки сетевого оборудования). Хорошее знание протокола SIP. Опыт использования Linux. ","Протоколы стека ОКС-7 (MTP, ISUP), DSS1. Базы данных (MySQL, PostgreSQL). Скрипты на Bash/Perl/Python. Средства удалённого управления...",Инженер внедрения и сопровождения (NGN)
174,"МАГНИТ, Розничная сеть",https://spb.hh.ru/vacancy/32297663?query=Python,unknown,"Уверенный пользователь ПК: MS Office (Excel), SQL. Желателен опыт владения R или Python. Желательно знание пакета анализа данных, power Pivot...","Создание, поддержка и развитие аналитических инструментов и отчетов. Аналитика торгового пространства; анализ тестовых мероприятий в внутри торговой точки. ",Бизнес-аналитик по аналзу эффективности ассортимента
175,Транзас,https://spb.hh.ru/vacancy/26791165?query=Python,от 200 000 руб.,"Знание базовых алгоритмов и структур данных, Design Patterns. Умение работать в команде. Python, boost, posix , WinAPI, Qt, cmake, git, gtest...",Разработка нового поколения профессионального навигационного ПО для больших судов. Проектирование отдельных систем. Оценка затрат на разработку функциональности.,Инженер-программист С++ (навигационное ПО)
176,Транзас,https://spb.hh.ru/vacancy/28104098?query=Python,unknown,"Хорошее владение нашим стеком технологий будет преимуществом, но не является обязательным. ОПИСАНИЕ КОМАНДЫ. Компактная команда (в данный момент 4 человека). ",Написание высокопроизводительного и эффективного низкоуровневого кода. Наши главные проекты: прокладка морских навигационных маршрутов и система обработки потоков данных. ,Senior Software Developer
177,ЗАО ИСТ,https://spb.hh.ru/vacancy/29404685?query=Python,от 120 000 руб.,"От 2 лет опыта коммерческой разработки на любом из следующих языков: C++, C#, Java, Python. Опыт разработки высоконагруженных серверных приложений. ",Кастомизация. В настоящее время открыта вакансия в Команду разработки средств мониторинга и управления. Основными задачами являются участие в проектировании компонентов...,Backend-разработчик (Erlang OTP)
178,"Протей, НТЦ",https://spb.hh.ru/vacancy/30857417?query=Python,40 000-50 000 руб.,"Глубокие знания протоколов стека ОКС-7 (MTP, ISUP, SCCP, TCAP, MAP), протокола SIP. Знание языков программирования (Python, Perl, Java или...",Общение с техническими специалистами операторов связи (письменное и устное). Удалённая настройка и плановое обновление нашего ПО. Диагностика и решение сложных...,Инженер внедрения и сопровождения (Mobile)
179,DataArt,https://spb.hh.ru/vacancy/31918172?query=Python,unknown,"Знание одного или нескольких языков программирования: Scala, Java, Python, JavaScript. ETL дизайн, внедрение и обслуживание. Опыт проектирования схем и моделей...","Клиент — разрабатывает системы бронирования визитов к врачу (medical appointments booking), его сервисами пользуется 40% населения США в больше чем 2000...","Data Engineer, Medical Appointment Scheduling Service"
180,Big Data Solutions,https://spb.hh.ru/vacancy/31496799?query=Python,unknown,"Хорошие аналитические навыки. Хорошие навыки работы со скриптовыми языками, такими как Python or Perl. Опыт работы с языками, такими как...","Работа с биржевыми данными, в различных форматах включая: equities, FX, fixed income, фьючерсы, опционы, и spreads. Использование Python, Perl, Bash...",Младший инженер-программист
181,ООО Ай Ти Сервис,https://spb.hh.ru/vacancy/32283902?query=Python,от 150 000 руб.,"Опыт настройки DevOps жизненного цикла, CI/CD, введение практики автоматической сборки, версионирования, тестирования и деплоя (GitLab / Jenkins / TeamCity). ",Участие в администрировании и поддержке Linux-инфраструктуры компании 24/7. Обеспечение работоспособности систем и сервисов. Улучшение и развитие мониторинга приложений...,DevOps Engineer
182,ООО ТРА РОБОТИКС,https://spb.hh.ru/vacancy/31894356?query=Python,unknown,"Опыт программирования под Linux. Будет плюсом: Знание Python. Опыт интеграции Unreal Engine с внешними приложениями (физическими движками, веб-сервисами и...",,Разработчик С++ / Unreal Engine
183,Game of whales Ltd,https://spb.hh.ru/vacancy/32068096?query=Python,250 000-250 000 руб.,"Good mathematical training, knowledge of statistics fundamentals. Knowledge of Python and ML-stack (numpy, pandas, sklearn, keras, tensorflow). Good English. ","Analysis of the collected data. Development, assessment and introduction of machine learning models. Development and statistical testing of hypotheses related...",Data Science specialist
184,Лаборатория Касперского,https://spb.hh.ru/vacancy/32282477?query=Python,unknown,"...системного, сетевого ПО для Windows. Уверенное владение средствами разработки. Опыт reverse engineering (IDA). Анализ крешдампов (windbg). Владение скриптовыми языками (python).","Участвовать в разработке и поддержке сетевых модулей (драйверов), а также продуктовых компонентов. Взаимодействовать с другими командами, принимать участие в архитектурных...",Старший разработчик С++ (сетевые драйверы)
185,ООО Вебинвест,https://spb.hh.ru/vacancy/32285014?query=Python,40 000-70 000 руб.,"Знание теории тестирования. Знание основ работы с базами данных (MySQL, PostgreSQL, Oracle или др.). Умение составлять тестовую документацию (тест-кейсы). ","Ручное тестирование продуктов компании. Тестирование API. Составление документации (тест-кейсы). Составление баг-репортов. Основы программирования (Python, Java). Основы автоматизации тестирования.",QA Engineer
186,Dell EMC,https://spb.hh.ru/vacancy/30872364?query=Python,unknown,"Extended programming skills in C/C++; Python – an advantage. Knowledge and experience in linux, clustered systems and multi-threading. ",Provide technical leadership and architectural guidance on product internals. Analyze and provide fixes for code issues related to all product...,"Principal Software Engineer (Continuous Engineering team, XIO)"
187,ООО Русская рыбалка СПб,https://spb.hh.ru/vacancy/32284942?query=Python,unknown,Опыт работы в Unity3D/C#. - Готовность к обучению и интерес к тематике проекта. Бонусом послужит опыт работы с:,Содержание работы: - Программирование игровой логики. - Программирование UI. - Unity3D ShaderLab. - С/С++.,Программист Unity3D / C#
188,Selectel,https://spb.hh.ru/vacancy/31584559?query=Python,unknown,Опыт построения CI/CD процессов. Экспертное знание ОС Linux. Знание Python или одного из скриптовых языков программирования. Уверенное знание Ansible...,Участвовать в разработке архитектуры информационных систем по запросам клиентов. Строить информационные системы с автоматизированным управлением. Выстраивать процесс постоянной интеграции и...,Linux инженер
189,ООО Специальный Технологический Центр,https://spb.hh.ru/vacancy/22111248?query=Python,unknown,Успешный опыт проведения тестов на проникновение. Опыт расследования инцидентов. Python или Ruby. Опыт использования утилит из состава kali linux. !!!,"Проведение оценки информационной безопасности. Проведение тестов на проникновение. Расследование инцидентов. Разработка инструментов, обеспечивающих автоматизацию процессов. Исследование программного обеспечения на наличие...",Специалист по информационной безопасности
190,Adhack.io,https://spb.hh.ru/vacancy/31989945?query=Python,unknown,"Must be proficient in SQL. Excellent knowledge of Python and machine learning libraries, data visualization tools. Deep understanding of ML...",Establish processes to collect and analyze data to drive business insights. Ad-hoc analysis based on business needs and deep...,Middle/Senior Data Analyst
191,Big Data Solutions,https://spb.hh.ru/vacancy/31496817?query=Python,unknown,"Хорошие аналитические навыки. Хорошие навыки работы со скриптовыми языками, такими как Python или Perl. Опыт работы с языками, такими как...",Работа в проектах POC для крупнейших международных финансовых организаций. Разработка программного обеспечения для мониторинга и анализа высокочастотной торговли на биржах...,Инженер-программист
192,Okko,https://spb.hh.ru/vacancy/31581662?query=Python,unknown,"Опыт написания production кода. Знание языков программирования помимо Python, в особенности C, Java, Scala, Kotlin, Haskell. Опыт построения рекомендательных сервисов. ",...доработка и улучшение качества используемых моделей. Непрерывное тестирование новых гипотез и подходов. Разработка production-ready компонентов рекомендательной системы на Python.,Data scientist
